x,z,t,T,x_norm,z_norm,t_norm,T_norm
2.5,2.0,170.0,501.0,0.8333333333333334,1.0,0.2833333333333333,0.8809523809523809
2.5,2.0,175.0,505.0,0.8333333333333334,1.0,0.2916666666666667,0.8882783882783882
2.5,2.0,180.0,508.0,0.8333333333333334,1.0,0.3,0.8937728937728938
2.5,2.0,185.0,502.0,0.8333333333333334,1.0,0.30833333333333335,0.8827838827838828
2.5,2.0,190.0,512.0,0.8333333333333334,1.0,0.31666666666666665,0.9010989010989011
2.5,2.0,195.0,526.0,0.8333333333333334,1.0,0.325,0.9267399267399268
2.5,2.0,200.0,527.0,0.8333333333333334,1.0,0.3333333333333333,0.9285714285714286
2.5,2.0,205.0,536.0,0.8333333333333334,1.0,0.3416666666666667,0.945054945054945
2.5,2.0,210.0,528.0,0.8333333333333334,1.0,0.35,0.9304029304029304
2.5,2.0,215.0,544.0,0.8333333333333334,1.0,0.35833333333333334,0.9597069597069597
2.5,2.0,220.0,566.0,0.8333333333333334,1.0,0.36666666666666664,1.0
2.5,2.0,225.0,566.0,0.8333333333333334,1.0,0.375,1.0
2.5,2.0,230.0,548.0,0.8333333333333334,1.0,0.38333333333333336,0.967032967032967
2.5,2.0,235.0,545.0,0.8333333333333334,1.0,0.39166666666666666,0.9615384615384616
2.5,2.0,240.0,540.0,0.8333333333333334,1.0,0.4,0.9523809523809523
2.5,2.0,245.0,531.0,0.8333333333333334,1.0,0.4083333333333333,0.9358974358974359
2.5,2.0,250.0,521.0,0.8333333333333334,1.0,0.4166666666666667,0.9175824175824175
2.5,2.0,255.0,498.0,0.8333333333333334,1.0,0.425,0.8754578754578755
2.5,2.0,260.0,484.0,0.8333333333333334,1.0,0.43333333333333335,0.8498168498168498
2.5,2.0,265.0,459.0,0.8333333333333334,1.0,0.44166666666666665,0.8040293040293041
2.5,2.0,270.0,436.0,0.8333333333333334,1.0,0.45,0.7619047619047619
2.5,2.0,275.0,425.0,0.8333333333333334,1.0,0.4583333333333333,0.7417582417582418
2.5,2.0,280.0,420.0,0.8333333333333334,1.0,0.4666666666666667,0.7326007326007326
2.5,2.0,285.0,412.0,0.8333333333333334,1.0,0.475,0.717948717948718
2.5,2.0,290.0,411.0,0.8333333333333334,1.0,0.48333333333333334,0.7161172161172161
2.5,2.0,295.0,412.0,0.8333333333333334,1.0,0.49166666666666664,0.717948717948718
2.5,2.0,300.0,400.0,0.8333333333333334,1.0,0.5,0.6959706959706959
2.5,2.0,305.0,392.0,0.8333333333333334,1.0,0.5083333333333333,0.6813186813186813
2.5,2.0,310.0,382.0,0.8333333333333334,1.0,0.5166666666666667,0.663003663003663
2.5,2.0,315.0,373.0,0.8333333333333334,1.0,0.525,0.6465201465201466
2.5,2.0,320.0,356.0,0.8333333333333334,1.0,0.5333333333333333,0.6153846153846154
2.5,2.0,325.0,339.0,0.8333333333333334,1.0,0.5416666666666666,0.5842490842490843
2.5,2.0,330.0,321.0,0.8333333333333334,1.0,0.55,0.5512820512820513
2.5,2.0,335.0,302.0,0.8333333333333334,1.0,0.5583333333333333,0.5164835164835165
2.5,2.0,340.0,284.0,0.8333333333333334,1.0,0.5666666666666667,0.4835164835164835
2.5,2.0,345.0,265.0,0.8333333333333334,1.0,0.575,0.44871794871794873
2.5,2.0,350.0,245.0,0.8333333333333334,1.0,0.5833333333333334,0.41208791208791207
2.5,2.0,355.0,228.0,0.8333333333333334,1.0,0.5916666666666667,0.38095238095238093
2.5,2.0,360.0,218.0,0.8333333333333334,1.0,0.6,0.3626373626373626
2.5,2.0,365.0,212.0,0.8333333333333334,1.0,0.6083333333333333,0.3516483516483517
2.5,2.0,370.0,207.0,0.8333333333333334,1.0,0.6166666666666667,0.3424908424908425
2.5,2.0,375.0,197.0,0.8333333333333334,1.0,0.625,0.3241758241758242
2.5,2.0,380.0,194.0,0.8333333333333334,1.0,0.6333333333333333,0.31868131868131866
2.5,2.0,385.0,192.0,0.8333333333333334,1.0,0.6416666666666667,0.315018315018315
2.5,2.0,390.0,189.0,0.8333333333333334,1.0,0.65,0.30952380952380953
2.5,2.0,395.0,185.0,0.8333333333333334,1.0,0.6583333333333333,0.3021978021978022
2.5,2.0,400.0,169.0,0.8333333333333334,1.0,0.6666666666666666,0.27289377289377287
2.5,2.0,405.0,164.0,0.8333333333333334,1.0,0.675,0.26373626373626374
